Adresse du logement (N° et nom de la rue),Code postal du logement,Description de l'état du logement,Photo témoignant de l'indignité des lieux,Le bailleur est un bailleur,Le logement a déjà été frappé d'un arrêté de péril imminent
42 rue Caisserie ,13002,"Le logement en lui-même est correct, par contre la cage d’escalier tombe en ruine et est effrayante ",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/410efe60f1df-301A6DE6_31C7_49B8_8724_FD01A743E2AC.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNDEwZWZlNjBmMWRmLTMwMUE2REU2XzMxQzdfNDlCOF84NzI0X0ZEMDFBNzQzRTJBQy5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTEwOCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMDhUMTQ1MTA3WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9YTc0ODRlMDk4YmJmOGZkMjFjNzFjMWU3MWRiMDNkNTY2YzM0YjkxOWZmNmM4MTY0MjFiY2VjNDQ0MzQ3ZGMwNA%3D%3D,privé,Je ne sais pas
78 au 82 rue Bernard du Bois,13002,3 immeubles trempés avec mousse sur les façades et malheureusement squattés. La ville n'a muré que les fenêtres pas les portes !,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/6c8ca05e7f3d-45623315_10214694324846505_9073261512520368128_n.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNmM4Y2EwNWU3ZjNkLTQ1NjIzMzE1XzEwMjE0Njk0MzI0ODQ2NTA1XzkwNzMyNjE1MTI1MjAzNjgxMjhfbi5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTA4JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEwOFQxNTI4MDFaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT1mZmY2ZDkzYzY1N2U0NjMzMzI4MDJjZjRmODYyNDZiMDEzOTc4ZDIxYmFkZDY4MDY5M2Q4MjU1M2VlOWEwODE2,je ne sais pas,Oui
Quai du Port,13002,"Bâtiment en bon état, mais rempli d'ordures",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/a4af4352e64e-Mairie_Marseille.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYTRhZjQzNTJlNjRlLU1haXJpZV9NYXJzZWlsbGUuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTEwOSUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMDlUMDkzMzEzWiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9ZmQ0ODQwYjA1OTc2OGJiMTZkYzY0Mjg4ODQxZmQwZjJkMjc3YjM4MjEyMDVhZjE0ZDQzOTZhYTlmODUzNjg5Zg%3D%3D,je ne sais pas,Je ne sais pas
27 rue du Bon Pasteur,13002,"Travaux soit-disant refaits mais il y a des fissures, et des installations sanitaires et électriques pas aux normes. C'est d'ailleurs toute la rue qui est concernée",,privé,Je ne sais pas
22 rue François Moisson donnant également sur la rue des Phocéens 13002 Marseille,13002,"Immeuble non habité (mais souvent squatté) en état d'insalubrité. Des filets ont été placés mais ne constituent en rien un barrage contre des chutes de pierres ou d'éléments car ils sont en cordes et ont été placés il y a 4 ans déjà (usure visible). Aussi et surtout, le trottoir de cet immeuble est le lieu de passage journalier de tous les enfants de l'école élémentaire  François Moisson (500 enfants).",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/90b1412ac785-22_FRANCOIS_MOISSON.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvOTBiMTQxMmFjNzg1LTIyX0ZSQU5DT0lTX01PSVNTT04uSlBHP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTEwOSUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMDlUMTM0ODAzWiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9ZjQ1MjgwY2QwNjM1NDFhYWQ3NDk0NzM1MjY5NGIxZjYyYjA3MmIzZDA2NDFhYmQ4MWU4YmFiNTJjNDQwODBlZg%3D%3D,privé,Je ne sais pas
18 rue des Phocéens,13002,Immeuble en état d'insalubrité non habité (mais souvent squatté) non protégé par des filets de protection/risques élevé de chute d'éléments de façade voire de balcons. Le trottoir est le lieu de passage journalier des 500 élèves de l'école primaire François Moisson. ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/6cd0a1cd0f93-18_RUE_DES_PHOCEENS.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNmNkMGExY2QwZjkzLTE4X1JVRV9ERVNfUEhPQ0VFTlMuSlBHP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTEwOSUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMDlUMTM1MzAyWiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9NjI5ZTQyN2I0ZGVhM2QxOGM2MmMwYTQ3MTRkY2M2ZGRmMzczMGI0OTM3NDk1YzkwOWMzYzVmYTY0NGU4NWQwYg%3D%3D,privé,Je ne sais pas
18 rue fontaine des vents ,13002,"immeuble inhabité depuis des années, appartenant à la mairie et Marseille Habitat",,un office HLM,Oui
53 rue Pierre albrand,13002,"Escaliers qui s'effrite, énorme trous au plafond et 1ère étage qui menace de s'effondrer",,privé,Je ne sais pas
28 montée des Accoules,13002,L'immeuble est muré et totalement délabré. Situé juste en face de l'entrée de l'école des Accoules. Tous les jours des dizaines de parents et d'enfants passent et stationnent devant cet immeuble.,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/72ff1fe5f3a5-28_montée_des_accoules.png?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNzJmZjFmZTVmM2E1LTI4X21vbnQlQzMlQTllX2Rlc19hY2NvdWxlcy5wbmc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTEwJTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTExMFQxNTE2MDRaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT1jN2U4NDIxZWViYWIxMTlhMjBjYzM3ZTQ3MWRhZThlYmNmNjUzNzViN2NhNzRmNTI2MDE1OWY3NzdkYjcxMzFm,je ne sais pas,Je ne sais pas
3 rue d’hozier ,13002,Chute de pierre de la façade ,,je ne sais pas,
2 rue du poirier,13002,Mur fissurer dans l appartement mur qui s ecarte  mobilier qui commence a pencher  humiditer ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/e2179cd55d0e-20181111_211725.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZTIxNzljZDU1ZDBlLTIwMTgxMTExXzIxMTcyNS5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTExJTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTExMVQyMjEwNTdaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT0yOTdiMDg1ZTRmN2JhYTIyZjk2OTNiMTM1MTYyOTU1NzkyYmY3YmJhMGEwZWI3NTU3ODAzMTlmYTE3ZDkwZDM5,privé,Non
6 Rue Sainte-Françoise,13002,"Un immeuble très délabré comme il est visible sur la photo._x000D_
Il comporte de nombreuse fissures visibles sur les façades._x000D_
Il n'y a pas eu de travaux dans cet immeuble depuis au moins 8 ans._x000D_
Il y a quelques années, un habitant s'est brisé les côtes. Ce serait en tombant dans un trou du plancher à l'entrée de l'immeuble._x000D_
La porte d'entrée de l'immeuble semble toujours rester entre-ouverte._x000D_
Depuis quelques mois, l'immeuble semble inhabité.",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/c0d10838087f-6_Rue_Sainte_Francoise.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYzBkMTA4MzgwODdmLTZfUnVlX1NhaW50ZV9GcmFuY29pc2UuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExNCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTRUMTgyNTU0WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9OGFjNGU3ODI4ODNiOWQwMGIwZjMwYTUwOGE4YjIyY2E3YjIyYzAyNTIxOTExMTAxYTA5NzhlNjhhN2M5ZmU3ZQ%3D%3D,privé,Je ne sais pas
4 Rue Sainte-Françoise,13002,"De nombreuses fissures visibles en façade, rebouchées il y a quelques temps en surface._x000D_
L'immeuble est peut-être affaibli au vu de l'état de l'immeuble voisin (le 6 Rue Sainte-Françoise, signalé il y a un instant).",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/edf82c7e5ad0-4_Rue_Sainte_Francoise.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZWRmODJjN2U1YWQwLTRfUnVlX1NhaW50ZV9GcmFuY29pc2UuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExNCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTRUMTgzMTE5WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9M2U5NjQwOWU1NDdkMzFlNmFkMWQ2NzFkMTUwMmViMTZiOWRiZTRhYmMzYWFlZjc5YWExM2FhYThhZGUwZWM2NQ%3D%3D,je ne sais pas,Je ne sais pas
4 rue guintrand,13002,"T4 ancien et charmant mais le sol s'affaisse et provoque de la casse dans le carrelage. Nous avons simplement recouvert de lino à nos frais. Cage d'escalier commune avec grandes fissures évolutives, tomettes qui s'en vont, rampe branlante.",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/43b339426a8d-IMG_20181115_114457.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNDNiMzM5NDI2YThkLUlNR18yMDE4MTExNV8xMTQ0NTcuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExNSUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTVUMTQyMzI1WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9M2JmMGFmYWY4YmQ4MThlNzcyNmVlNTE0NDI2MjVmMTMwNmI0MTZkN2QwYWJjOGY2MDEzOTY3YTM2MTYxMGUzZA%3D%3D,privé,Non
73 rue château joly,13002,"Appartement il mais façade très endommagée et fissurée. Ainsi que fuites dans les appartements au dernier étage quand il pleut. _x000D_
Des câbles électriques pendent des murs extérieurs. ",,privé,Je ne sais pas
rue Clovis hugues ,13003,vétusté du dispositif électrique,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/f1206ee8a6db-_MG_0382.JPG?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvZjEyMDZlZThhNmRiLV9NR18wMzgyLkpQRz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMDglMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTA4VDExMTUxMlomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPWMwZjg3OGYwNTFkMmJlMDEwOTNkZTA0OTgzNDZhNTZjOGYyZTEyMTk0ZjE1YjhiZGJjMDVhNmQzZDZkNDMxODA%3D,privé,Non
179 boulevard national,13003,"Ecole primaire National, dans le 3ème : Cafards, cour et classes inondées, plafond qui s'effondre, toilettes et points d'eau vétustes, issue de secours inutilisable...",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/8f992914a1b0-20181011_084721_44690116684_o.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvOGY5OTI5MTRhMWIwLTIwMTgxMDExXzA4NDcyMV80NDY5MDExNjY4NF9vLmpwZz9YLUFtei1BbGdvcml0aG09QVdTNC1ITUFDLVNIQTI1NiZYLUFtei1DcmVkZW50aWFsPUFLSUFKWFlUUUM1VERJU0JUNTNRJTJGMjAxODExMDglMkZ1cy1lYXN0LTElMkZzMyUyRmF3czRfcmVxdWVzdCZYLUFtei1EYXRlPTIwMTgxMTA4VDEzMjY0OVomWC1BbXotRXhwaXJlcz04NjQwMCZYLUFtei1TaWduZWRIZWFkZXJzPWhvc3QmWC1BbXotU2lnbmF0dXJlPWE0MTZiM2Y3ZjQzOWRjNjc0ZWI2NDNkNThlNzEwZjhkNzZhMmEzZGE5YWIxNmMxZjE4Mzk2Yjc1YWViYWU2ZWQ%3D,je ne sais pas,Non
68/70 rue Clovis Hugues,13003,Fissures,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/4605cc9c509b-Screenshot_2018_11_09_06_37_09.png?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNDYwNWNjOWM1MDliLVNjcmVlbnNob3RfMjAxOF8xMV8wOV8wNl8zN18wOS5wbmc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTA5JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEwOVQwNTM5NDJaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT03NzFmOWY1Njg5N2NkOGE3MTZkZjcxNjk4YTdjMWY3ODVhMzNmNTg3OTk0MmVjNzE2NTc1ZWExODQzNWFjYjE4,je ne sais pas,Je ne sais pas
68/70 rue Clovis Hugues,13003,Fissure,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/601f0e295198-Screenshot_2018_11_09_06_37_20.png?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNjAxZjBlMjk1MTk4LVNjcmVlbnNob3RfMjAxOF8xMV8wOV8wNl8zN18yMC5wbmc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTA5JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEwOVQwNTQwNDlaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT05YjY3NzlkYTk5NmEzNzEyZDE3Njc2MzI3YzQ4Zjc2ZDYyOTgwNzZiNzA2OWNlYjhjNDFlM2YzMThhNzBiMDI2,je ne sais pas,Je ne sais pas
Rue Clovis Hugues,13003,Deux immeubles aux façades très lézardées et l'un des deux est muré et vide.,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/bbf98124a9ec-45585090_10217101687235203_3443078567406075904_o.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYmJmOTgxMjRhOWVjLTQ1NTg1MDkwXzEwMjE3MTAxNjg3MjM1MjAzXzM0NDMwNzg1Njc0MDYwNzU5MDRfby5qcGc%2FWC1BbXotQWxnb3JpdGhtPUFXUzQtSE1BQy1TSEEyNTYmWC1BbXotQ3JlZGVudGlhbD1BS0lBSlhZVFFDNVRESVNCVDUzUSUyRjIwMTgxMTA5JTJGdXMtZWFzdC0xJTJGczMlMkZhd3M0X3JlcXVlc3QmWC1BbXotRGF0ZT0yMDE4MTEwOVQwNzA5MTBaJlgtQW16LUV4cGlyZXM9ODY0MDAmWC1BbXotU2lnbmVkSGVhZGVycz1ob3N0JlgtQW16LVNpZ25hdHVyZT1iOWU5YzhkMTFlYjNhMGFhNjVjMWI3YjUzZmVkYjAwZjNkZjdlYjE1ZjMwNGQ3ZDY3NjEyYzEyNjJlYmVlM2Nm,je ne sais pas,Oui
7 rue Jean Cristofol 13003 Marseille,13003,Très dégradé ,,privé,Non
Tour bel horizon 23 rue de blidah 13003 marseille,13003,Moyen mais les passerelles de secours menacent à tous moment de céder et s’il y a le feu selon un rapport urbanis confidentielle serait dramatique et le rapport Nicol donne des informations precises sur la situation igh dangereuse ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/c80eab9adc2b-4B63FFE9_CC43_44C1_9F71_9D026983FB30.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYzgwZWFiOWFkYzJiLTRCNjNGRkU5X0NDNDNfNDRDMV85RjcxXzlEMDI2OTgzRkIzMC5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTBUMTkyNTI0WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9NzI1MjAyZGM1MjZlMWQxODM5ZTk2MWU1MzY5NTViN2RjNWQ0MDU3MmEzMDRhN2M0OTRiYWY5MmY1YjhkMjczMQ%3D%3D,privé,Oui
16 RUE FELIX PYAT,13003,"N 'a pas été entretenu depuis des années , infiltrations d'eau par le toit et par la façade sud est, parties communes vétustes sans électricité dans les parties communes.",,privé,Je ne sais pas
3 rue Bonhomme ,13003,"T2 au 1er étage, type ""3 fenêtres"". Seul appartement de l'immeuble (bureaux et locaux divers en RDC)_x000D_
Problèmes d'humidités dans plusieurs pièces._x000D_
Problèmes d'évacuations des eaux usées (et fragilisation des planchers)_x000D_
Installation électrique dangereuse_x000D_
Présence de rongeurs et insectes divers malgré les efforts de la locataire... ",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/4c14bfec93a2-IMG_20181111_114523.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvNGMxNGJmZWM5M2EyLUlNR18yMDE4MTExMV8xMTQ1MjMuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMSUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTFUMTQxMDI3WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9YjkzZjc0ZTk3OWU4YTljMDM2MGIzN2Y5NDNmNTgxMjRiNGEwMGQwZTkyZmM1NzIxNmYyMWJiZGVhNjFkNzhkNQ%3D%3D,privé,Je ne sais pas
67 rue Belle de mai ,13003,"l'immeuble, 3 fenêtres, est habité, commerce en rdc, la façade est fendue de haut en bas en son milieu et tous les hauts et bas de fenêtres présentent des fissures, des morceaux prêts à tomber.",https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/c89ba5666d46-67_rue_belle_de_mai.jpg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvYzg5YmE1NjY2ZDQ2LTY3X3J1ZV9iZWxsZV9kZV9tYWkuanBnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExMyUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTNUMTUwNTA0WiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9ODJiNjkzNzIxMGM0YWFhYmMzODViNzhlZGI3ZjhhNmRmOTdlNTI2ZWZmMDIyM2ExNmUwMjFhMDhmMDY2MmJmYw%3D%3D,je ne sais pas,Je ne sais pas
38 rue Belle de Mai,13003,"immeuble inhabité, proprio aux abonnés absent car sans argent. cette adresse est régulièrement squattée par des gens qui cassent et abiment (ce pourrait être des gens calmes avec  ou sans enfant, comme cela existe aussi). la police intervient régulièrement. le toit est abimé et laisse passer l'eau : certaines poutres sont courbes et de nombreuses tuiles manqent.",,privé,Je ne sais pas
35 bd gouzian,13003,Humide ,https://admin.typeform.com/form/results/file/download/w1hLPb/Myuxql01XqGd/1b7cf847aa56-83A82974_E8E7_40FB_BCBD_062AC88FF1E6.jpeg?key=aHR0cHM6Ly90eXBlZm9ybS1maWxlLXVwbG9hZC5zMy5hbWF6b25hd3MuY29tL3cxaExQYi9NeXV4cWwwMVhxR2QvMWI3Y2Y4NDdhYTU2LTgzQTgyOTc0X0U4RTdfNDBGQl9CQ0JEXzA2MkFDODhGRjFFNi5qcGVnP1gtQW16LUFsZ29yaXRobT1BV1M0LUhNQUMtU0hBMjU2JlgtQW16LUNyZWRlbnRpYWw9QUtJQUpYWVRRQzVURElTQlQ1M1ElMkYyMDE4MTExNCUyRnVzLWVhc3QtMSUyRnMzJTJGYXdzNF9yZXF1ZXN0JlgtQW16LURhdGU9MjAxODExMTRUMjE1NjExWiZYLUFtei1FeHBpcmVzPTg2NDAwJlgtQW16LVNpZ25lZEhlYWRlcnM9aG9zdCZYLUFtei1TaWduYXR1cmU9NDM3Mjk5ODkwYzA1ZWZiNmE5MTc3ODBmNThlOTkyNTMyMDQ5NzY1M2U2NzgzNjRlMzA2Y2FkNzk0MWNhYjgwNQ%3D%3D,privé,Non
162 bd national,13003,Logement mal isolée balfond de la cuisine imprégné d'eau risque effondrement fissure dans lappartement problème d'évacuation usés ,,un office HLM,Non
